filename,title,description,date,blogtype,url
tradeoffs_agsystems_pub,Trade-offs in the performance of alternative farming systems,Trade-offs in the performance of alternative farming systems,2019-10-09,publication,https://onlinelibrary.wiley.com/doi/abs/10.1111/agec.12534
science_art_partnership_pub,Science–graphic art partnerships to increase research impact,Science–graphic art partnerships to increase research impact,2019-08-06,publication,https://www.nature.com/articles/s42003-019-0516-1
mt_farming_pub,Adaptation action and research in glaciated mountain systems. Are they enough to meet the challenge of climate change?,Adaptation action and research in glaciated mountain systems. Are they enough to meet the challenge of climate change?,2019-01-01,publication,https://www.sciencedirect.com/science/article/abs/pii/S0959378018306617
gfs_smallfarms_pub,How much of our world’s food do smallholders produce? ,How much of our world’s food do smallholders produce? ,2018-06-01,publication,https://www.sciencedirect.com/science/article/pii/S2211912417301293
gfs_smallfarms_data_pub,An open-access dataset of crop production by farm size from agricultural censuses and surveys,An open-access dataset of crop production by farm size from agricultural censuses and surveys,2018-09-01,publication,https://www.sciencedirect.com/science/article/pii/S235234091830708X
rev_smallfarm_cc,Smallholder agriculture and climate change,Smallholder agriculture and climate change,2017-10-01,publication,https://www.annualreviews.org/doi/10.1146/annurev-environ-102016-060946
markets_sweet_potato,Food security sweet potato production and proximity to markets in northern Ghana,Food security sweet potato production and proximity to markets in northern Ghana,2017-11-23,publication,https://www.facetsjournal.com/doi/10.1139/facets-2017-0027
cambodia_swot,Capacity development in agricultural education and training in Cambodia. A SWOT analysis. ,Capacity development in agricultural education and training in Cambodia. A SWOT analysis. ,2016-05-02,publication,https://www.aiaee.org/index.php/vol-24-1-april-17/1671-capacity-development-in-agricultural-education-and-training-in-cambodia-a-swot-analysis
bu_situated_knowledge,Situated knowledge of pathogenic landscapes in Ghana. Understanding the emergence of Buruli ulcer through qualitative analysis,Situated knowledge of pathogenic landscapes in Ghana. Understanding the emergence of Buruli ulcer through qualitative analysis,2016-02-01,publication,https://www.sciencedirect.com/science/article/abs/pii/S0277953615302677
smallfarm_homophily,Homophily as a Safety Net. Investigating when smallholder farmers decide to buy hybrid seed in northern Ghana,Homophily as a Safety Net. Investigating when smallholder farmers decide to buy hybrid seed in northern Ghana,2015-12-07,publication,https://journals.psu.edu/ik/article/view/59741
seed_networks,Social seed networks. Identifying central farmers for equitable seed access,Social seed networks. Identifying central farmers for equitable seed access,2015-10-01,publication,https://www.sciencedirect.com/science/article/abs/pii/S0308521X15300068
bu_landcover,Buruli ulcer disease and its association with land cover in southwestern Ghana,Buruli ulcer disease and its association with land cover in southwestern Ghana,2015-06-19,publication,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003840
seedsystems_strength,Strengthening informal seed systems to enhance food security in Southeast Asia,Strengthening informal seed systems to enhance food security in Southeast Asia,2013-05-29,publication,https://foodsystemsjournal.org/index.php/fsj/article/view/177
seedsystems_strateges,Designing strategies and systems to identify preserve and promote underutilized indigenous crop species,Designing strategies and systems to identify preserve and promote underutilized indigenous crop species,2013-03-01,publication,https://www.actahort.org/members/showpdf?booknrarnr=979_61
seedsystems_methods,Methodologies for strengthening informal indigenous vegetable seed systems in Northern Thailand and Cambodia,Methodologies for strengthening informal indigenous vegetable seed systems in Northern Thailand and Cambodia,2012-09-01,publication,https://www.actahort.org/books/958/958_6.htm
aaas_scicom_blog,Scientists should be science communicators,Scientists should be science communicators,2019-04-12,blog,https://www.aaas.org/programs/center-public-engagement-science-and-technology/reflections/scientists-should-be-science
covid_testing,COVID-19. Testing for all or testing for some? A town’s key lesson in testing everyone for coronavirus,COVID-19. Testing for all or testing for some? A town’s key lesson in testing everyone for coronavirus,2020-04-29,blog,https://blogs.worldbank.org/opendata/covid-19-testing-all-or-testing-some-towns-key-lesson-testing-everyone-coronavirus
water_subidies,Water subsidies mostly benefit the wealthy,Water subsidies mostly benefit the wealthy,2019-09-11,blog,https://blogs.worldbank.org/opendata/water-subsidies-mostly-benefit-wealthy
cellphones_toilets,Are cell phones becoming more popular than toilets?,Are cell phones becoming more popular than toilets?,2019-09-26,blog,https://blogs.worldbank.org/opendata/are-cell-phones-becoming-more-popular-toilets